cycle,metric
0,0.07533090
1,0.09609263
2,0.12261451
3,0.12641510
4,0.17879345
5,0.18179126
6,0.20757619
7,0.23738131
8,0.26226555
9,0.26260072
10,0.28594035
11,0.31577890
12,0.36291919
13,0.33937837
14,0.32787708
15,0.33356052
16,0.30737980
17,0.32217399
18,0.34856507
19,0.34455623
20,0.35576216
21,0.36619246
22,0.36630043
23,0.37568914
24,0.37855663
25,0.41128525
26,0.41894369
27,0.39545255
28,0.41374265
29,0.40538082
30,0.42556792
31,0.45784603
32,0.47803814
33,0.47245375
34,0.48206177
35,0.52660248
36,0.53356429
37,0.54601539
38,0.52882424
39,0.54244377
40,0.54292128
41,0.54865917
42,0.55236764
43,0.57165906
44,0.56613213
45,0.57381690
46,0.57652480
47,0.59620785
48,0.61546291
49,0.61335566
50,0.62233858
51,0.64900564
52,0.64708489
53,0.69982418
54,0.71442611
55,0.75645115
56,0.80895241
57,0.82115667
58,0.84107001
59,0.82762642
60,0.85918946
61,0.86542621
62,0.85789454
63,0.89240556
64,0.90747702
65,0.90958514
66,0.91401300
67,0.92788051
68,0.94570904
69,0.97035424
70,0.98744544
71,1.01749900
72,1.03758125
73,1.06270561
74,1.05350104
75,1.08744665
76,1.15157545
77,1.15420496
78,1.16163477
79,1.21905653
80,1.19914969
81,1.19060017
82,1.18715240
83,1.16926554
84,1.14787076
85,1.18888046
86,1.20677761
87,1.24845027
88,1.26685055
89,1.29596529
90,1.28761295
91,1.28986712
92,1.31433666
93,1.33893860
94,1.35955201
95,1.36349343
96,1.37285935
97,1.39474344
98,1.37000297
99,1.39617290
100,1.41137034
101,1.39467083
102,1.44126085
103,1.44628369
104,1.45764068
105,1.45730504
106,1.52022526
107,1.51059703
108,1.50723336
109,1.52157667
110,1.56636375
111,1.61976005
112,1.59764564
113,1.58514900
114,1.60377440
115,1.60652473
116,1.64972891
117,1.65044238
118,1.68363183
119,1.68852743
120,1.72108734
121,1.73536485
122,1.76490046
